roi_id,vel_min,vel_max,vel_mean,vel_std,vel_se,vel_cv,vel_n_nan,vel_n_zero,vel_n_big,img_min,img_max,img_mean,img_std,path,file_name,parent_folder,grandparent_folder,rel_path,accepted,treatment,condition,date,_unique_row_id
1,0.0528076810812005,1.1044962312638718,0.5717097016303405,0.18580230060880612,0.0023856124035519827,0.32499413614803985,1431,0,149,31,1187,345.36532280701755,200.46320672763713,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0007.tif,20251014_A98_0007,20251014,14d Saline,14d Saline/20251014/20251014_A98_0007.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0007.tif|1
2,-1.434073567390442,2.766435146331787,0.5054508845410284,0.31717146858374873,0.0037483281279376826,0.6275020546689801,337,923,99,31,1187,345.36532280701755,200.46320672763713,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0007.tif,20251014_A98_0007,20251014,14d Saline,14d Saline/20251014/20251014_A98_0007.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0007.tif|2
1,-1.1812759700082194,0.24740698432984,-0.4831553616087787,0.21673575611136023,0.0033998027088270274,-0.44858398215780504,3433,0,30,28,1791,371.12783958333335,244.4920898787749,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0008.tif,20251014_A98_0008,20251014,14d Saline,14d Saline/20251014/20251014_A98_0008.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0008.tif|1
2,-2.7860913276672363,1.5278147459030151,-0.31185716660686547,0.3768372036706714,0.004534944025727915,-1.2083647388027523,592,2505,52,28,1791,371.12783958333335,244.4920898787749,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0008.tif,20251014_A98_0008,20251014,14d Saline,14d Saline/20251014/20251014_A98_0008.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0008.tif|2
1,-0.26070683829151,0.952153559442939,0.3379754545278561,0.18241922305195082,0.002825913417357153,0.5397410392029394,3330,0,138,22,978,274.1959166666667,187.63250805169884,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0009.tif,20251014_A98_0009,20251014,14d Saline,14d Saline/20251014/20251014_A98_0009.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0009.tif|1
2,-3.088073492050171,2.600649833679199,0.2210893494026744,0.29569718783019694,0.0035816438906337927,1.337455597156052,681,2445,181,22,978,274.1959166666667,187.63250805169884,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0009.tif,20251014_A98_0009,20251014,14d Saline,14d Saline/20251014/20251014_A98_0009.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0009.tif|2
1,0.2044676631488712,1.685127923114589,0.9655688486258638,0.3433237979182624,0.004399418348945058,0.35556635697895494,1407,0,94,0,1825,357.0160714285714,186.07026565455536,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0010.tif,20251014_A98_0010,20251014,14d Saline,14d Saline/20251014/20251014_A98_0010.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0010.tif|1
2,-1.7354580163955688,1.9057849645614624,0.9501364060719955,0.38453311609806196,0.004875325837475245,0.4047135902178286,1276,38,34,0,1825,357.0160714285714,186.07026565455536,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0010.tif,20251014_A98_0010,20251014,14d Saline,14d Saline/20251014/20251014_A98_0010.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0010.tif|2
1,0.6141386776409528,1.3248755585539622,0.956441851463237,0.1293246591339878,0.0015497154442308473,0.1352143456877563,533,0,154,0,1593,236.99626862745097,174.7422972573691,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0011.tif,20251014_A98_0011,20251014,14d Saline,14d Saline/20251014/20251014_A98_0011.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0011.tif|1
2,-1.956132173538208,1.8922922611236572,0.9740155143860909,0.19102032923673656,0.002213696474044803,0.1961163106905275,51,24,383,0,1593,236.99626862745097,174.7422972573691,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0011.tif,20251014_A98_0011,20251014,14d Saline,14d Saline/20251014/20251014_A98_0011.tif,True,14d Saline,Control,20251014,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251014/20251014_A98_0011.tif|2
